2006;15
2007;15,4
2008;14,6
2009;15,1
2010;13,9
2011;15,4
2012;15
2013;14,4
2014;15,3
2015;15,5
2016;15,1
2017;15,4
2018;15,5
2019;15,4
2020;15,2
2021;14,7
